,slug,date,metric_name,value
21886,vanvlfr01,2020-08-17,asst_to,11.0
17,leonaka01,2020-09-09,asst_to,9.0
17098,hardeja01,2020-08-20,asst_to,9.0
2468,rondora01,2020-09-06,asst_to,9.0
1043,bledser01,2020-09-08,asst_to,9.0
17212,brogdma01,2020-08-20,asst_to,9.0
9916,murraja01,2020-08-25,asst_to,8.0
13925,hardeja01,2020-08-22,asst_to,8.0
22171,harrito02,2020-08-17,asst_to,8.0
