,slug,date,metric_name,value
17135,antetgi01,2020-08-20,total_rebounds,20.0
11093,adebaba01,2020-08-24,total_rebounds,19.0
6134,goberru01,2020-09-01,total_rebounds,18.0
3037,jokicni01,2020-09-05,total_rebounds,18.0
20422,antetgi01,2020-08-18,total_rebounds,17.0
20365,jamesle01,2020-08-18,total_rebounds,17.0
6913,adebaba01,2020-08-31,total_rebounds,17.0
12290,doncilu01,2020-08-23,total_rebounds,17.0
15577,allenja01,2020-08-21,total_rebounds,17.0
