,slug,date,metric_name,value
7019,adamsst01,2020-08-31,offensive_rebounds,9.0
8843,adamsst01,2020-08-29,offensive_rebounds,8.0
15740,harrito02,2020-08-21,offensive_rebounds,8.0
10857,nurkiju01,2020-08-24,offensive_rebounds,8.0
6126,goberru01,2020-09-01,offensive_rebounds,7.0
20433,davisan02,2020-08-18,offensive_rebounds,6.0
977,lopezbr01,2020-09-08,offensive_rebounds,6.0
11085,adebaba01,2020-08-24,offensive_rebounds,6.0
6905,adebaba01,2020-08-31,offensive_rebounds,6.0
