,slug,date,metric_name,value
436,siakapa01,2020-09-09,minutes,54.23
37,lowryky01,2020-09-09,minutes,53.47
683,walkeke02,2020-09-09,minutes,51.67
56,tatumja01,2020-09-09,minutes,51.22
113,brownja02,2020-09-09,minutes,51.18
170,vanvlfr01,2020-09-09,minutes,50.9
75,smartma01,2020-09-09,minutes,49.8
284,anunoog01,2020-09-09,minutes,49.6
13964,gilgesh01,2020-08-22,minutes,48.32
